medium	description	compound	name
MARINE	Seawater environnment	glyb	betaine
MARINE	Seawater environnment	btn	biotine
MARINE	Seawater environnment	ca2	calcium
MARINE	Seawater environnment	cd2	cadmium
MARINE	Seawater environnment	co	carbon monoxide
MARINE	Seawater environnment	co2	carbon dioxyde
MARINE	Seawater environnment	cobalt2	cobalt
MARINE	Seawater environnment	cu2	Cu2+
MARINE	Seawater environnment	fe2	Fe2+
MARINE	Seawater environnment	fe3	Fe3+
MARINE	Seawater environnment	h2	dihydrogene
MARINE	Seawater environnment	h2o	water
MARINE	Seawater environnment	hco3	bicarbonate
MARINE	Seawater environnment	k	K+
MARINE	Seawater environnment	mg2	Mg2+
MARINE	Seawater environnment	mn2	Mn2+
MARINE	Seawater environnment	n2	Nitrogen
MARINE	Seawater environnment	na1	Na+
MARINE	Seawater environnment	nh4	NH4+
MARINE	Seawater environnment	no2	NO2-
MARINE	Seawater environnment	no3	NO3-
MARINE	Seawater environnment	o2	O2
MARINE	Seawater environnment	photon	photon (light)
MARINE	Seawater environnment	pi	Phosphate
MARINE	Seawater environnment	h	hydrogen
MARINE	Seawater environnment	so4	SO42-
MARINE	Seawater environnment	urea	Urea
MARINE	Seawater environnment	zn2	ZN2+
MARINE	Seawater environnment	cl	Cl-
MARINE	Seawater environnment	thm	thiamine
MARINE	Seawater environnment	glc__D	D-Glucose
MARINE_PHOTO	Seawater environnment	btn	biotine
MARINE_PHOTO	Seawater environnment	ca2	calcium
MARINE_PHOTO	Seawater environnment	cd2	cadmium
MARINE_PHOTO	Seawater environnment	co	carbon monoxide
MARINE_PHOTO	Seawater environnment	co2	carbon dioxyde
MARINE_PHOTO	Seawater environnment	cobalt2	cobalt
MARINE_PHOTO	Seawater environnment	cu2	Cu2+
MARINE_PHOTO	Seawater environnment	fe2	Fe2+
MARINE_PHOTO	Seawater environnment	fe3	Fe3+
MARINE_PHOTO	Seawater environnment	h2	dihydrogene
MARINE_PHOTO	Seawater environnment	h2o	water
MARINE_PHOTO	Seawater environnment	hco3	bicarbonate
MARINE_PHOTO	Seawater environnment	k	K+
MARINE_PHOTO	Seawater environnment	mg2	Mg2+
MARINE_PHOTO	Seawater environnment	mn2	Mn2+
MARINE_PHOTO	Seawater environnment	n2	Nitrogen
MARINE_PHOTO	Seawater environnment	na1	Na+
MARINE_PHOTO	Seawater environnment	nh4	NH4+
MARINE_PHOTO	Seawater environnment	no2	NO2-
MARINE_PHOTO	Seawater environnment	no3	NO3-
MARINE_PHOTO	Seawater environnment	o2	O2
MARINE_PHOTO	Seawater environnment	photon	photon (light)
MARINE_PHOTO	Seawater environnment	pi	Phosphate
MARINE_PHOTO	Seawater environnment	h	hydrogen
MARINE_PHOTO	Seawater environnment	so4	SO42-
MARINE_PHOTO	Seawater environnment	urea	Urea
MARINE_PHOTO	Seawater environnment	zn2	ZN2+
MARINE_PHOTO	Seawater environnment	cl	Cl-
MARINE_PHOTO	Seawater environnment	thm	thiamine
