metabolite	name	molecular_weight	C_number	N_number	sbo	kegg.compound	chebi	hmdb	lipidmaps	biocyc	metanetx.chemical	inchikey	seed.compound	reactome	kegg.drug	kegg.glycan	reaction
h2o_e	H2O H2O	18.01528	0	0													EX_h2o_e
o2_e	O2 O2	31.9988	0	0													EX_o2_e
co2_e	CO2 CO2	44.0095	1	0													EX_co2_e
leu__L_m	L-Leucine	131.17292	6	1													EX_leu__L_e
cobalt2_e	Co2+	58.9332	0	0													EX_cobalt2_e
zn2_e	Zinc	65.409	0	0													EX_zn2_e
so4_e	Sulfate	96.0626	0	0													EX_so4_e
spmd_e	Spermidine	148.26968	7	3													EX_spmd_e
ca2_e	Calcium	40.078	0	0													EX_ca2_e
nh4_e	Ammonium	18.03846	0	1													EX_nh4_e
arg__L_e	L-Arginine	175.2089	6	4													EX_arg__L_e
gln__L_e	L-Glutamine	146.1445	5	2													EX_gln__L_e
mn2_e	Manganese	54.938049	0	0													EX_mn2_e
hco3_e	Bicarbonate	61.016839999999995	1	0													EX_hco3_e
mg2_e	Magnesium	24.305	0	0													EX_mg2_e
ptrc_e	Putrescine	90.16736	4	2													EX_ptrc_e
fe2_e	Fe2+ mitochondria	55.845	0	0													EX_fe2_e
cu2_e	Copper	63.546	0	0													EX_cu2_e
k_e	Potassium	39.0983	0	0													EX_k_e
no3_e	Nitrate	62.0049	0	1													EX_no3_e
fe3_e	Iron (Fe3+)	55.845	0	0													EX_fe3_e
mobd_e	Molybdate	159.9376	0	0													EX_mobd_e
ni2_e	Nickel	58.6934	0	0													EX_ni2_e
na1_e	Sodium	22.98977	0	0													EX_na1_e
cynt_e	Cyanate	42.0168	1	1													EX_cynt_e
h_e	H+	1.00794	0	0													EX_h_e
pi_e	Phosphate	95.97930099999999	0	0													EX_pi_e
photon_e	photon (420nm-440nm)		0	0													EX_photon_e
meoh_e	Methanol	32.04186	1	0													EX_meoh_e
cl_e	Chloride	35.453	0	0													EX_cl_e
Amino_sugars[e]	Amino sugars pool	0.0	0	0													AminosugarsEX
amino_acid_pool[e]	amino_acid_pool_e	0.0	0	0													FAKEAAEX
pap_e	Adenosine 3_5-bisphosphate	427.201122	10	5													EX_pap_e
Acyl_carrier_protein[e]	Acyl-carrier protein		0	0													FAKEacpEX
Apo_acyl_carrier_protein[e]	Apo-(acyl-carrier-protein)	0.0	0	0													FAKEApoacpEX
Thioredoxin[e]	Thioredoxin		10	4													FAKEThioredoxinEX
Free_fatty_acids[e]	Free fatty acids	0.0	0	0													FreefattyacidsEX
Artificial_protein[e]	Artificial Protein biomass precursor	0.0	0	0													ArtificialproteinEX
adocbl_e	Cobamide coenzyme	1579.581761	72	18													EX_adocbl_e
btn_e	Biotin	244.31064	10	2													EX_btn_e
FAD[e]	FAD	785.549742	27	9													FADEX
gcald_e	Glycolaldehyde	60.05196	2	0													EX_gcald_e
Lipoylprotein[e]	Lipoylprotein		8	1													LipoylproteinEX
Menaquinone[e]	Menaquinone	719.13206	51	0													MenaquinoneEX
Nicotinate[e]	Nicotinate	123.1094	6	1													NicotinateEX
S_Adenosyl_4_methylthio_2_oxobutanoate[e]	S-Adenosyl-4-methylthio-2-oxobutanoate	398.4142	15	5													SAdenosyl4methylthio2oxobutanoateEX
S_Methyl_5_thio_D_ribose[e]	S-Methyl-5-thio-D-ribose	180.22208	6	0													SMethyl5thioDriboseEX
N_Acetylornithine[e]	N-Acetylornithine	174.19765999999998	7	2													NAcetylornithineEX
THF_polyglutamate[e]	THF-polyglutamate	703.6571799999999	29	9													THFpolyglutEX
thm_e	Thiamin diphosphate	425.314382	12	4													EX_thm_e
tRNA[e]	tRNA		15	0													tRNAEX
Glycolate[e]	Glycolate	76.05136	2	0													EX_glyclt_e
15dap_e	Cadaverine	102.17806	5	2													EX_15dap_e
cd2_e	Cadmium	112.411	0	0													EX_cd2_e
co_e	CO	28.0101	1	0													EX_co_e
glycogen_e	Glycogen	162.1406	6	0													EX_glycogen_e
h2s_e	Hydrogen sulfide	34.08088	0	0													EX_h2s_e
sel_e	Selenate	144.97348	0	0													EX_sel_e
sprm_e	Spermine	202.34024	10	4													EX_sprm_e
tsul_e	Thiosulfate	113.13614	0	0													EX_tsul_e
urea_e	Urea	60.055260000000004	1	2													EX_urea_e
L_Alanine[e]	L-Alanine	89.09318	3	1													EX_ala__L_e
L_Asparagine[e]	L-Asparagine	132.11792	4	2													EX_asn__L_e
L_Aspartate[e]	L-Aspartate	133.10268	4	1													EX_asp__L_e
L_Cystine[e]	L-Cystine	240.30048	6	2													EX_cys__L_e
L_Glutamate[e]	L-Glutamate	147.12926	5	1													EX_glu__L_e
Glycine[e]	Glycine	75.0666	2	1													EX_gly_e
his__L_e	L-Histidine	155.15456	6	3													EX_his__L_e
ile__L_e	L-Isoleucine	131.17292	6	1													EX_ile__L_e
lys__L_e	L-Lysine	146.18756	6	2													EX_lys__L_e
met__L_e	L-Methionine	149.21134	5	1													EX_met__L_e
phe__L_e	L-Phenylalanine	165.18914	9	1													EX_phe__L_e
pro__L_e	L-Proline	115.13046	5	1													EX_pro__L_e
ser__L_e	L-Serine	105.09258	3	1													EX_ser__L_e
thr__L_e	L-Threonine	119.11916	4	1													EX_thr__L_e
trp__L_e	L-Tryptophan	204.22518000000002	11	2													EX_trp__L_e
tyr__L_e	L-Tyrosine	181.18854	9	1													EX_tyr__L_e
val__L_e	L-Valine	117.14634	5	1													EX_val__L_e
glc__D_e	D-Glucose	180.15588	6	0													EX_glc__D_e
sn_Glycerol_3_phosphate[e]	sn-Glycerol 3-phosphate	172.073721	3	0													PhospholipidEX
Lipid_A_disaccharide[e]	Lipid A disaccharide	1325.727021	68	2													LPSEX
ppt_e	Phosphonate	0.0	0	0													EX_ppt_e
ac_e	Acetate[e]	0.0	0	0													EX_ac_e
cit_e	Citrate[e]	0.0	0	0													EX_cit_e
for_e	Formate[e]	0.0	0	0													EX_for_e
pyr_e	Pyruvate[e]	0.0	0	0													EX_pyr_e
fum_e	Fumarate[e]	0.0	0	0													EX_fum_e
gthrd_e	Glutathione[e]	0.0	0	0													EX_gthrd_e
4_Methyl_2_oxopentanoate[e]	4_Methyl_2_oxopentanoate[e]	0.0	0	0													4_Methyl_2_oxopentanoateEX
Pantothenate[e]	Pantothenate[e]	0.0	0	0													PantothenateEX
succ_e	Succinate[e]	0.0	0	0													EX_succ_e
thymd_e	Thymidine[e]	0.0	0	0													EX_thymd_e
xtsn_e	Xanthosine[e]	0.0	0	0													EX_xtsn_e
