taxon	sample_id	flux	metabolite	direction
pelagibacter	Central_2015	0.0022667230631368	23dappa	export
pelagibacter	Central_2015	-2.3679719056371384	25dkglcn	import
pelagibacter	Central_2015	-0.9672689529256782	2mbald	import
pelagibacter	Central_2015	-0.00160450536552545	3h4atb	import
pelagibacter	Central_2015	0.00297325165994745	3mb	export
pelagibacter	Central_2015	-5.7150197257789374e-05	4ahmmp	import
pelagibacter	Central_2015	6.362475188591721e-05	4hba	export
pelagibacter	Central_2015	-0.002003035026298	4hphac	import
pelagibacter	Central_2015	0.0016033438513977	4hpro_LT	export
pelagibacter	Central_2015	0.0010360463164483	5aptn	export
pelagibacter	Central_2015	-0.0068925643919869	5dglcn	import
pelagibacter	Central_2015	-7.980579445912228e-06	6pgc	import
pelagibacter	Central_2015	0.0275501145392066	Glycine	export
pelagibacter	Central_2015	-0.054695396023578126	L_Asparagine	import
pelagibacter	Central_2015	-0.0005067127092422	L_Aspartate	import
pelagibacter	Central_2015	-0.121431791722869	L_Cystine	import
pelagibacter	Central_2015	-0.1274275515011796	L_Glutamate	import
pelagibacter	Central_2015	-0.006333250287861667	LalaDgluMdapDala	import
pelagibacter	Central_2015	0.0057319608225772	LalaLglu	export
pelagibacter	Central_2015	0.0067787061361169	R_3h6atha	export
pelagibacter	Central_2015	0.0001669965171502497	R_3hnonaa	export
pelagibacter	Central_2015	0.0003164248786536	R_3htd58e	export
pelagibacter	Central_2015	-0.10381136714047735	R_3htd5e	import
pelagibacter	Central_2015	0.20032699046002359	ac	export
pelagibacter	Central_2015	0.11024799345513744	acald	export
pelagibacter	Central_2015	-0.0068364641878613	acon_C	import
pelagibacter	Central_2015	0.0022516144544230503	actn__R	export
pelagibacter	Central_2015	-0.040815407609183	ade	import
pelagibacter	Central_2015	-0.0044827790019038	agm	import
pelagibacter	Central_2015	0.000132571755665	ala_L_asp__L	export
pelagibacter	Central_2015	0.0069677717563957	ala_L_glu__L	export
pelagibacter	Central_2015	-0.0584578667058332	alahis	import
pelagibacter	Central_2015	0.06752205032046885	alaleu	export
pelagibacter	Central_2015	-0.0040865360642543	alathr	import
pelagibacter	Central_2015	-0.0067117429392045	alatrp	import
pelagibacter	Central_2015	0.00254218999759865	alltn	export
pelagibacter	Central_2015	0.1902731033061288	anhgm	export
pelagibacter	Central_2015	-0.00106001158649295	arg__L	import
pelagibacter	Central_2015	1.413621457257727	asp__D	export
pelagibacter	Central_2015	0.22687690881407618	btn	export
pelagibacter	Central_2015	-0.0015410807031211	but	import
pelagibacter	Central_2015	0.0034596738597882045	bz	export
pelagibacter	Central_2015	-0.0040674114004603	ca2	import
pelagibacter	Central_2015	0.0012195212269623	catechol	export
