ecoregion	exporter	importer	shared_metabolites_2015	shared_metabolites_2016	diff_2016-2015	percent_change
West	pelagibacter	roseobacter	38	20	-18	-47.368421052631575
East	roseobacter	pelagibacter	20	37	17	85.0
Central	polaribacter	roseobacter	19	31	12	63.1578947368421
East	polaribacter	roseobacter	27	15	-12	-44.44444444444444
West	polaribacter	pelagibacter	9	19	10	111.11111111111111
Central	polaribacter	prochlorococcus	4	13	9	225.0
West	pelagibacter	prochlorococcus	14	5	-9	-64.28571428571429
East	pelagibacter	roseobacter	33	25	-8	-24.242424242424242
North	pelagibacter	roseobacter	39	32	-7	-17.94871794871795
East	pelagibacter	polaribacter	28	21	-7	-25.0
Central	roseobacter	synechococcus	10	3	-7	-70.0
Central	pelagibacter	polaribacter	27	20	-7	-25.925925925925924
West	roseobacter	prochlorococcus	17	10	-7	-41.17647058823529
West	pelagibacter	polaribacter	31	24	-7	-22.58064516129032
West	polaribacter	roseobacter	16	22	6	37.5
West	roseobacter	pelagibacter	26	32	6	23.076923076923077
North	roseobacter	polaribacter	33	27	-6	-18.181818181818183
West	roseobacter	polaribacter	28	34	6	21.428571428571427
West	polaribacter	prochlorococcus	11	6	-5	-45.45454545454545
North	prochlorococcus	pelagibacter	10	15	5	50.0
North	polaribacter	roseobacter	29	34	5	17.24137931034483
North	roseobacter	synechococcus	4	8	4	100.0
North	prochlorococcus	roseobacter	9	13	4	44.44444444444444
West	synechococcus	prochlorococcus	8	4	-4	-50.0
East	synechococcus	roseobacter	8	4	-4	-50.0
East	synechococcus	prochlorococcus	2	6	4	200.0
North	pelagibacter	polaribacter	27	23	-4	-14.814814814814813
Central	pelagibacter	roseobacter	30	26	-4	-13.333333333333334
Central	roseobacter	polaribacter	28	24	-4	-14.285714285714285
Central	prochlorococcus	roseobacter	10	14	4	40.0
Central	prochlorococcus	polaribacter	16	12	-4	-25.0
Central	polaribacter	synechococcus	6	2	-4	-66.66666666666666
Central	prochlorococcus	synechococcus	8	5	-3	-37.5
North	synechococcus	pelagibacter	5	2	-3	-60.0
West	prochlorococcus	polaribacter	12	15	3	25.0
North	polaribacter	synechococcus	6	9	3	50.0
West	prochlorococcus	synechococcus	5	8	3	60.0
North	polaribacter	pelagibacter	23	26	3	13.043478260869565
East	pelagibacter	prochlorococcus	14	11	-3	-21.428571428571427
East	polaribacter	pelagibacter	13	16	3	23.076923076923077
North	synechococcus	polaribacter	5	2	-3	-60.0
East	roseobacter	polaribacter	33	30	-3	-9.090909090909092
East	polaribacter	prochlorococcus	15	12	-3	-20.0
East	prochlorococcus	roseobacter	13	16	3	23.076923076923077
North	roseobacter	pelagibacter	33	36	3	9.090909090909092
Central	prochlorococcus	pelagibacter	15	13	-2	-13.333333333333334
North	roseobacter	prochlorococcus	11	9	-2	-18.181818181818183
North	prochlorococcus	synechococcus	7	9	2	28.57142857142857
East	prochlorococcus	pelagibacter	9	11	2	22.22222222222222
Central	roseobacter	pelagibacter	29	31	2	6.896551724137931
East	polaribacter	synechococcus	7	5	-2	-28.57142857142857
West	polaribacter	synechococcus	5	3	-2	-40.0
North	prochlorococcus	polaribacter	14	12	-2	-14.285714285714285
North	pelagibacter	prochlorococcus	13	11	-2	-15.384615384615385
Central	pelagibacter	prochlorococcus	11	13	2	18.181818181818183
Central	polaribacter	pelagibacter	20	22	2	10.0
Central	pelagibacter	synechococcus	4	6	2	50.0
West	synechococcus	pelagibacter	5	7	2	40.0
West	synechococcus	polaribacter	5	7	2	40.0
East	prochlorococcus	synechococcus	6	8	2	33.33333333333333
North	polaribacter	prochlorococcus	16	14	-2	-12.5
West	pelagibacter	synechococcus	6	5	-1	-16.666666666666664
West	roseobacter	synechococcus	7	6	-1	-14.285714285714285
Central	synechococcus	pelagibacter	7	6	-1	-14.285714285714285
North	synechococcus	prochlorococcus	4	3	-1	-25.0
Central	roseobacter	prochlorococcus	13	14	1	7.6923076923076925
Central	synechococcus	polaribacter	7	6	-1	-14.285714285714285
Central	synechococcus	prochlorococcus	6	7	1	16.666666666666664
North	pelagibacter	synechococcus	7	8	1	14.285714285714285
East	pelagibacter	synechococcus	9	8	-1	-11.11111111111111
East	synechococcus	pelagibacter	6	5	-1	-16.666666666666664
East	roseobacter	synechococcus	6	7	1	16.666666666666664
East	roseobacter	prochlorococcus	15	16	1	6.666666666666667
East	prochlorococcus	polaribacter	15	16	1	6.666666666666667
West	synechococcus	roseobacter	5	6	1	20.0
North	synechococcus	roseobacter	4	4	0	0.0
West	prochlorococcus	pelagibacter	8	8	0	0.0
West	prochlorococcus	roseobacter	12	12	0	0.0
Central	synechococcus	roseobacter	6	6	0	0.0
East	synechococcus	polaribacter	8	8	0	0.0
