ecoregion	year	exporter	importer	shared_metabolites	direction
North	2015	pelagibacter	roseobacter	39	pelagibacter -> roseobacter
West	2015	pelagibacter	roseobacter	38	pelagibacter -> roseobacter
East	2016	roseobacter	pelagibacter	37	roseobacter -> pelagibacter
North	2016	roseobacter	pelagibacter	36	roseobacter -> pelagibacter
West	2016	roseobacter	polaribacter	34	roseobacter -> polaribacter
North	2016	polaribacter	roseobacter	34	polaribacter -> roseobacter
East	2015	pelagibacter	roseobacter	33	pelagibacter -> roseobacter
East	2015	roseobacter	polaribacter	33	roseobacter -> polaribacter
North	2015	roseobacter	pelagibacter	33	roseobacter -> pelagibacter
North	2015	roseobacter	polaribacter	33	roseobacter -> polaribacter
North	2016	pelagibacter	roseobacter	32	pelagibacter -> roseobacter
West	2016	roseobacter	pelagibacter	32	roseobacter -> pelagibacter
Central	2016	polaribacter	roseobacter	31	polaribacter -> roseobacter
Central	2016	roseobacter	pelagibacter	31	roseobacter -> pelagibacter
West	2015	pelagibacter	polaribacter	31	pelagibacter -> polaribacter
East	2016	roseobacter	polaribacter	30	roseobacter -> polaribacter
Central	2015	pelagibacter	roseobacter	30	pelagibacter -> roseobacter
North	2015	polaribacter	roseobacter	29	polaribacter -> roseobacter
Central	2015	roseobacter	pelagibacter	29	roseobacter -> pelagibacter
Central	2015	roseobacter	polaribacter	28	roseobacter -> polaribacter
West	2015	roseobacter	polaribacter	28	roseobacter -> polaribacter
East	2015	pelagibacter	polaribacter	28	pelagibacter -> polaribacter
North	2016	roseobacter	polaribacter	27	roseobacter -> polaribacter
East	2015	polaribacter	roseobacter	27	polaribacter -> roseobacter
Central	2015	pelagibacter	polaribacter	27	pelagibacter -> polaribacter
North	2015	pelagibacter	polaribacter	27	pelagibacter -> polaribacter
North	2016	polaribacter	pelagibacter	26	polaribacter -> pelagibacter
West	2015	roseobacter	pelagibacter	26	roseobacter -> pelagibacter
Central	2016	pelagibacter	roseobacter	26	pelagibacter -> roseobacter
East	2016	pelagibacter	roseobacter	25	pelagibacter -> roseobacter
Central	2016	roseobacter	polaribacter	24	roseobacter -> polaribacter
West	2016	pelagibacter	polaribacter	24	pelagibacter -> polaribacter
North	2015	polaribacter	pelagibacter	23	polaribacter -> pelagibacter
North	2016	pelagibacter	polaribacter	23	pelagibacter -> polaribacter
Central	2016	polaribacter	pelagibacter	22	polaribacter -> pelagibacter
West	2016	polaribacter	roseobacter	22	polaribacter -> roseobacter
East	2016	pelagibacter	polaribacter	21	pelagibacter -> polaribacter
East	2015	roseobacter	pelagibacter	20	roseobacter -> pelagibacter
Central	2015	polaribacter	pelagibacter	20	polaribacter -> pelagibacter
Central	2016	pelagibacter	polaribacter	20	pelagibacter -> polaribacter
West	2016	pelagibacter	roseobacter	20	pelagibacter -> roseobacter
Central	2015	polaribacter	roseobacter	19	polaribacter -> roseobacter
West	2016	polaribacter	pelagibacter	19	polaribacter -> pelagibacter
West	2015	roseobacter	prochlorococcus	17	roseobacter -> prochlorococcus
West	2015	polaribacter	roseobacter	16	polaribacter -> roseobacter
East	2016	polaribacter	pelagibacter	16	polaribacter -> pelagibacter
East	2016	prochlorococcus	polaribacter	16	prochlorococcus -> polaribacter
Central	2015	prochlorococcus	polaribacter	16	prochlorococcus -> polaribacter
East	2016	prochlorococcus	roseobacter	16	prochlorococcus -> roseobacter
North	2015	polaribacter	prochlorococcus	16	polaribacter -> prochlorococcus
East	2016	roseobacter	prochlorococcus	16	roseobacter -> prochlorococcus
East	2015	roseobacter	prochlorococcus	15	roseobacter -> prochlorococcus
Central	2015	prochlorococcus	pelagibacter	15	prochlorococcus -> pelagibacter
East	2016	polaribacter	roseobacter	15	polaribacter -> roseobacter
West	2016	prochlorococcus	polaribacter	15	prochlorococcus -> polaribacter
East	2015	prochlorococcus	polaribacter	15	prochlorococcus -> polaribacter
East	2015	polaribacter	prochlorococcus	15	polaribacter -> prochlorococcus
North	2016	prochlorococcus	pelagibacter	15	prochlorococcus -> pelagibacter
West	2015	pelagibacter	prochlorococcus	14	pelagibacter -> prochlorococcus
Central	2016	prochlorococcus	roseobacter	14	prochlorococcus -> roseobacter
East	2015	pelagibacter	prochlorococcus	14	pelagibacter -> prochlorococcus
North	2016	polaribacter	prochlorococcus	14	polaribacter -> prochlorococcus
Central	2016	roseobacter	prochlorococcus	14	roseobacter -> prochlorococcus
North	2015	prochlorococcus	polaribacter	14	prochlorococcus -> polaribacter
Central	2015	roseobacter	prochlorococcus	13	roseobacter -> prochlorococcus
Central	2016	polaribacter	prochlorococcus	13	polaribacter -> prochlorococcus
East	2015	prochlorococcus	roseobacter	13	prochlorococcus -> roseobacter
North	2016	prochlorococcus	roseobacter	13	prochlorococcus -> roseobacter
East	2015	polaribacter	pelagibacter	13	polaribacter -> pelagibacter
Central	2016	pelagibacter	prochlorococcus	13	pelagibacter -> prochlorococcus
North	2015	pelagibacter	prochlorococcus	13	pelagibacter -> prochlorococcus
Central	2016	prochlorococcus	pelagibacter	13	prochlorococcus -> pelagibacter
West	2015	prochlorococcus	polaribacter	12	prochlorococcus -> polaribacter
West	2015	prochlorococcus	roseobacter	12	prochlorococcus -> roseobacter
East	2016	polaribacter	prochlorococcus	12	polaribacter -> prochlorococcus
Central	2016	prochlorococcus	polaribacter	12	prochlorococcus -> polaribacter
North	2016	prochlorococcus	polaribacter	12	prochlorococcus -> polaribacter
West	2016	prochlorococcus	roseobacter	12	prochlorococcus -> roseobacter
North	2016	pelagibacter	prochlorococcus	11	pelagibacter -> prochlorococcus
Central	2015	pelagibacter	prochlorococcus	11	pelagibacter -> prochlorococcus
North	2015	roseobacter	prochlorococcus	11	roseobacter -> prochlorococcus
East	2016	pelagibacter	prochlorococcus	11	pelagibacter -> prochlorococcus
East	2016	prochlorococcus	pelagibacter	11	prochlorococcus -> pelagibacter
West	2015	polaribacter	prochlorococcus	11	polaribacter -> prochlorococcus
North	2015	prochlorococcus	pelagibacter	10	prochlorococcus -> pelagibacter
Central	2015	roseobacter	synechococcus	10	roseobacter -> synechococcus
West	2016	roseobacter	prochlorococcus	10	roseobacter -> prochlorococcus
Central	2015	prochlorococcus	roseobacter	10	prochlorococcus -> roseobacter
North	2016	polaribacter	synechococcus	9	polaribacter -> synechococcus
East	2015	pelagibacter	synechococcus	9	pelagibacter -> synechococcus
East	2015	prochlorococcus	pelagibacter	9	prochlorococcus -> pelagibacter
North	2016	roseobacter	prochlorococcus	9	roseobacter -> prochlorococcus
North	2016	prochlorococcus	synechococcus	9	prochlorococcus -> synechococcus
North	2015	prochlorococcus	roseobacter	9	prochlorococcus -> roseobacter
West	2015	polaribacter	pelagibacter	9	polaribacter -> pelagibacter
North	2016	roseobacter	synechococcus	8	roseobacter -> synechococcus
West	2015	prochlorococcus	pelagibacter	8	prochlorococcus -> pelagibacter
North	2016	pelagibacter	synechococcus	8	pelagibacter -> synechococcus
East	2016	synechococcus	polaribacter	8	synechococcus -> polaribacter
East	2015	synechococcus	polaribacter	8	synechococcus -> polaribacter
West	2016	prochlorococcus	synechococcus	8	prochlorococcus -> synechococcus
Central	2015	prochlorococcus	synechococcus	8	prochlorococcus -> synechococcus
