ecoregion	taxon	metabolite	direction	flux_2015	flux_2016	flux_diff_2016-2015
West	synechococcus	photon	import	-411.09571189383286	0.0	411.09571189383286
Central	synechococcus	photon	import	-275.58529096761777	-0.3914385882588045	275.193852379359
East	synechococcus	photon	import	-223.31563232817732	-0.0376838615450505	223.27794846663227
Central	roseobacter	meoh	export	104.31870140193033	0.0	-104.31870140193033
East	prochlorococcus	photon	import	-92.6771284378372	0.0	92.6771284378372
Central	roseobacter	co2	export	70.07364174884162	0.0398989103833552	-70.03374283845827
Central	roseobacter	h2o	import	-50.00255334703414	0.0	50.00255334703414
Central	roseobacter	malthx	export	0.0	49.69773790068255	49.69773790068255
West	roseobacter	meoh	export	48.64954056376892	0.0	-48.64954056376892
East	roseobacter	4hbz	export	0.0	45.898122038743566	45.898122038743566
East	roseobacter	Glycine	import	-43.38662824395584	0.0	43.38662824395584
North	roseobacter	tol	export	1.076364093273082	41.94021631091111	40.863852217638026
East	prochlorococcus	ade	import	-40.61865154532719	-1.0977274846920368e-05	40.61864056805234
North	polaribacter	ala_L_thr__L	import	-40.22496257748255	0.0	40.22496257748255
Central	pelagibacter	ca2	import	-0.0040674114004603	-40.12783086296354	-40.12376345156308
West	polaribacter	etha	export	39.80798679182541	0.0004487364885763	-39.80753805533683
West	pelagibacter	hxan	import	-39.605988388041126	-0.0150328869569506	39.590955501084174
Central	prochlorococcus	xtsn	export	0.0	37.65777477075108	37.65777477075108
East	roseobacter	co2	export	37.50041012288736	0.0	-37.50041012288736
East	prochlorococcus	glycogen	export	37.42236545261102	0.0	-37.42236545261102
East	roseobacter	meoh	export	35.33848305810737	0.0970864346586122	-35.24139662344876
Central	polaribacter	ala_gln	export	34.762178081762684	0.3142575359879933	-34.44792054577469
Central	roseobacter	tyr__L	import	-34.50178893092814	-0.2143832877590281	34.287405643169116
Central	roseobacter	ile__L	import	-0.8810734150420707	-34.08845821908788	-33.207384804045816
Central	polaribacter	gln__L	export	0.0903162213648691	32.56036874945669	32.47005252809183
Central	roseobacter	alathr	import	0.0	-32.19841539743173	-32.19841539743173
East	pelagibacter	id3acald	export	31.811244318247443	0.0	-31.811244318247443
Central	roseobacter	hxa	export	31.77386391198274	0.0	-31.77386391198274
East	roseobacter	pi	import	-0.0126092626021605	-30.21745037525876	-30.2048411126566
East	prochlorococcus	4_Methyl_2_oxopentanoate	export	28.53841272637219	0.0735506535195419	-28.464862072852647
Central	polaribacter	R_3hhdca	export	0.4891143489661767	27.954332818406677	27.4652184694405
East	roseobacter	h2o	import	-27.095148653106516	-0.0444460227305843	27.05070263037593
Central	roseobacter	sulfac	export	0.0048531553746817	26.926165092838623	26.92131193746394
Central	synechococcus	h2o	export	26.84748007061177	0.025103583460001	-26.822376487151768
East	polaribacter	pro__L	export	26.83137975060807	0.0305514464184976	-26.800828304189572
Central	pelagibacter	xyl__D	import	-26.333122967161728	-0.0890110148431369	26.24411195231859
Central	pelagibacter	gua	export	0.0	25.416456674980896	25.416456674980896
North	polaribacter	35dnta	export	0.0464161657848976	25.43906368383644	25.392647518051543
West	roseobacter	co2	export	27.13791737160428	2.3438249836786715	-24.79409238792561
North	roseobacter	arab__L	export	0.0	24.72517206885933	24.72517206885933
West	roseobacter	lys__D	export	0.0038686421221281	24.164829466273684	24.160960824151555
East	synechococcus	meoh	import	-24.19729921925889	-0.4676118155069163	23.729687403751974
West	synechococcus	h2o	export	23.98794016431088	0.2883990843820336	-23.69954107992885
North	synechococcus	ptrc	import	-23.69868686155385	-0.0003620864880891	23.69832477506576
Central	prochlorococcus	thr__L	import	-0.0330565687550697	-23.53866522930235	-23.50560866054728
North	polaribacter	ptrc	import	-22.62941298141357	0.0	22.62941298141357
North	polaribacter	serglugly	import	-22.01721704874725	0.0	22.01721704874725
North	polaribacter	dcyt	export	21.961182989464813	0.0	-21.961182989464813
Central	pelagibacter	glyglu	export	21.71939639999938	0.0	-21.71939639999938
East	synechococcus	h2o	export	21.416456403380234	0.0	-21.416456403380234
West	polaribacter	co2	export	27.831010265097436	6.73638376228616	-21.094626502811277
Central	roseobacter	h	import	-20.96232954065793	-0.387324849172224	20.575004691485706
East	polaribacter	metox	import	-0.0357547737445596	-20.31196875233421	-20.27621397858965
North	polaribacter	4hbald	import	-20.18437758905977	-0.0220038832690304	20.162373705790742
North	pelagibacter	hishis	import	-20.121056282515333	-0.0004428815548282	20.120613400960504
East	pelagibacter	fald	export	0.0	20.047409605604727	20.047409605604727
West	synechococcus	meoh	import	-20.302450467534037	-0.4833555916590199	19.819094875875017
North	prochlorococcus	h2o2	export	19.8144960130738	0.0	-19.8144960130738
West	roseobacter	h2o	import	-19.61093538756464	0.0	19.61093538756464
Central	polaribacter	ala__D	import	-19.29072794670056	0.0	19.29072794670056
Central	roseobacter	3ump	export	18.85673823099904	0.0026420624179874	-18.85409616858105
West	prochlorococcus	Acyl_carrier_protein	export	18.45199823510947	0.0015809977266606	-18.450417237382812
East	roseobacter	hpta	export	18.35739735517272	0.0	-18.35739735517272
Central	synechococcus	meoh	import	-18.112341069187725	-0.0025483325614054	18.109792736626318
North	roseobacter	hisgly	import	-17.64262653630913	0.0	17.64262653630913
East	polaribacter	5drib	import	-0.0155291775792241	-17.00102297767739	-16.985493800098165
Central	roseobacter	so4	export	17.158441036807222	0.2550323276675945	-16.903408709139626
Central	roseobacter	glucan6	import	0.0	-16.7854103725692	-16.7854103725692
Central	prochlorococcus	cit	import	0.0	-16.629655820290967	-16.629655820290967
East	prochlorococcus	glc__D	import	0.0	-16.51203265018378	-16.51203265018378
East	polaribacter	succ	export	15.996250010393274	0.0	-15.996250010393274
North	roseobacter	buts	export	0.0027030909685783	15.780031742631444	15.777328651662865
West	roseobacter	glyc	import	-15.712003813574324	0.0	15.712003813574324
East	polaribacter	fe3dhbzs3	import	-0.0099928187522971	-15.549127620062604	-15.539134801310308
Central	roseobacter	glyc	import	-15.338894767610835	0.0	15.338894767610835
Central	pelagibacter	feenter	import	-15.790307880289744	-0.5557671748475158	15.234540705442228
North	prochlorococcus	Menaquinone	export	0.0024896583025448	15.054564104461706	15.05207444615916
East	pelagibacter	glyphe	import	-0.0398702956057877	-15.03929044053556	-14.999420144929772
North	pelagibacter	thr__L	import	-14.943403978266415	0.0	14.943403978266415
East	pelagibacter	glc__D	import	-14.789563788492554	0.0	14.789563788492554
East	synechococcus	k	import	-0.0081232575296135	-14.784737593629062	-14.776614336099449
North	prochlorococcus	sel	import	-0.0053592140729007	-14.66930584233027	-14.663946628257369
Central	roseobacter	tartr__L	export	0.0	14.16972375257388	14.16972375257388
Central	roseobacter	fru	import	0.0	-13.950318892593126	-13.950318892593126
