original_id	renamed_id
AminosugarsEX	AminosugarsEX
FAKEAAEX	FAKEAAEX
FAKEABPEX	FAKEABPEX
FAKEacpEX	FAKEacpEX
FAKEApoacpEX	FAKEApoacpEX
FAKEThioredoxinEX	FAKEThioredoxinEX
FreefattyacidsEX	FreefattyacidsEX
ArtificialproteinEX	ArtificialproteinEX
B12EX	EX_adocbl_e
BiotinEX	EX_btn_e
FADEX	FADEX
GlycolaldehydeEX	EX_gcald_e
LipoylproteinEX	LipoylproteinEX
MenaquinoneEX	MenaquinoneEX
MethanolEX	EX_meoh_e
NicotinateEX	NicotinateEX
SAdenosyl4methylthio2oxobutanoateEX	SAdenosyl4methylthio2oxobutanoateEX
SMethyl5thioDriboseEX	SMethyl5thioDriboseEX
NAcetylornithineEX	NAcetylornithineEX
THFpolyglutEX	THFpolyglutEX
Thiamin_dpEX	EX_thm_e
tRNAEX	tRNAEX
GlycolateEX	EX_glyclt_e
AmmoniaEX	EX_nh4_e
BiomassEX	BiomassEX
CadaverineEX	CadaverineEX
CadmiumEX	EX_cd2_e
CalciumEX	EX_ca2_e
ChlorideEX	EX_cl_e
CO2EX	EX_co2_e
CobaltEX	EX_cobalt2_e
CopperEX	EX_cu2_e
COEX	EX_co_e
CyanateEX	EX_cynt_e
FAKEOrthophosphateEX	EX_pi_e
GlycogenEX	EX_glycogen_e
H2OEX	EX_h2o_e
H2SEX	EX_h2s_e
HCO3EXcar	EX_hco3_e
HEX	EX_h_e
IronEX	EX_fe2_e
LightEX	EX_photon_e
MagnesiumEX	EX_mg2_e
MolybdenumEX	EX_mobd_e
O2EX	EX_o2_e
PotassiumEX	EX_k_e
SelenateEX	EX_sel_e
SodiumEX	EX_na1_e
SpermineEX	SpermineEX
SulfateEX	EX_so4_e
ThiosulfateEX	EX_tsul_e
UreaEX	EX_urea_e
ZincEX	EX_zn2_e
L_AlanineEX	EX_ala__L_e
L_ArginineEX	EX_arg__L_e
L_AsparagineEX	EX_asn__L_e
L_AspartateEX	EX_asp__L_e
L_CystineEX	EX_cys__L_e
L_GlutamateEX	EX_glu__L_e
L_GlutamineEX	EX_gln__L_e
GlycineEX	EX_gly_e
L_HistidineEX	EX_his__L_e
L_IsoleucineEX	L_IsoleucineEX
L_LeucineEX	EX_leu__L_e
L_LysineEX	L_LysineEX
L_MethionineEX	L_MethionineEX
L_PhenylalanineEX	L_PhenylalanineEX
L_ProlineEX	L_ProlineEX
L_SerineEX	L_SerineEX
L_ThreonineEX	L_ThreonineEX
L_TryptophanEX	L_TryptophanEX
L_TyrosineEX	L_TyrosineEX
L_ValineEX	L_ValineEX
D_GlucoseEX	D_GlucoseEX
PhospholipidEX	PhospholipidEX
LPSEX	LPSEX
PnEX	PnEX
AcetateEX	AcetateEX
CitrateEX	CitrateEX
FormateEX	FormateEX
PyruvateEX	PyruvateEX
FumarateEX	FumarateEX
GlutathioneEX	GlutathioneEX
4_Methyl_2_oxopentanoateEX	4_Methyl_2_oxopentanoateEX
PantothenateEX	PantothenateEX
SuccinateEX	SuccinateEX
ThymidineEX	ThymidineEX
XanthosineEX	XanthosineEX
4_AminobenzoateEX	4_AminobenzoateEX
5_MethylthioadenosineEX	5_MethylthioadenosineEX
AdenineEX	AdenineEX
DethiobiotinEX	DethiobiotinEX
GuanineEX	GuanineEX
GuanosineEX	GuanosineEX
PutrescineEX	EX_ptrc_e
SpermidineEX	EX_spmd_e
4_HydroxybenzoateEX	4_HydroxybenzoateEX
EthanolEX	EX_etoh_e
S_MalateEX	EX_mal__D_e
H2O2EX	EX_h2o2_e
